player_id,player_name,first_serve_pct,first_serve_win_pct,second_serve_win_pct,ace_rate,df_rate,bp_save_pct,service_pts_won_pct,return_pts_won_pct,dominance_ratio,wins,total_matches,aces,dfs,rank,rank_points,height,hand,ioc,win_pct,cluster_kmeans,archetype,pca_x,pca_y
105077,Albert Ramos,0.6229947741768507,0.676403604532731,0.516431212558448,0.0415699631394942,0.0309292610316308,0.5816761746897785,0.6155647703785099,0.3726579844415882,1.7518212447380646,279,609,1992.0,1489.0,17.0,2180.0,188.0,L,ESP,0.458128078817734,0,All-Court Elite,-0.8552814524383172,-1.3021594661843547
105095,Evgeny Korolev,0.580327528081624,0.6981768017512393,0.4683061645457761,0.0633678221898545,0.0478049659494076,0.5390746256486997,0.6027841288529591,0.3616361261244653,1.8112295184194949,73,165,805.0,585.0,46.0,922.0,185.0,R,KAZ,0.4424242424242424,1,Grinders,-1.2374038759818042,1.4836162683548715
105099,Antonio Veic,0.6196612941234751,0.6418585447512136,0.4599744577542454,0.0334864444325412,0.0399743397864307,0.4982982112916323,0.5692917553485506,0.3737108695625838,1.6185322783468532,10,32,90.0,92.0,126.0,428.0,180.0,R,CRO,0.3125,1,Grinders,-3.691166723071178,0.6088750720644432
105132,Jurgen Zopp,0.6028332096025812,0.6930055100344548,0.4901165851186672,0.0620429291739374,0.0365955442201133,0.5230264633325858,0.6124369157558277,0.3304302390405865,2.0579272839683274,17,50,244.0,142.0,77.0,641.0,190.0,R,EST,0.34,1,Grinders,-0.3338460692627706,1.2834725868071382
105137,Pere Riba,0.5513119848710171,0.6485620296290137,0.4599753128640615,0.0578477000899633,0.0406526803202518,0.5335214058428344,0.5631497171365405,0.3351471379152506,1.7886650699036135,24,85,413.0,258.0,65.0,761.0,183.0,R,ESP,0.2823529411764706,1,Grinders,-2.33596953143792,2.2939447307068552
105138,Roberto Bautista Agut,0.6595894862073968,0.7046377802130485,0.5470149030137756,0.0417863857668081,0.0244026657159808,0.6040696686464315,0.6505434801859357,0.3968005276358773,1.7158964058421298,412,674,2148.0,1294.0,9.0,3215.0,183.0,R,ESP,0.6112759643916914,0,All-Court Elite,0.18127549248863928,-3.3445040629572604
105147,Tatsuma Ito,0.5837074650826287,0.671662900476372,0.4875886464507561,0.0535450605296838,0.0429334017165906,0.5120644470667235,0.5958569512889407,0.3424215996594582,1.864671041366184,29,88,358.0,286.0,63.0,701.0,180.0,R,JPN,0.3295454545454545,1,Grinders,-1.5061605145871306,1.4277047043848548
105154,Joao Souza,0.6299270829304193,0.6943530258903258,0.4927412928772005,0.0762326175041903,0.0329591488785091,0.5233807462378891,0.6167287657955405,0.3444958749475431,1.9016825356954856,25,72,383.0,169.0,69.0,676.0,193.0,R,BRA,0.3472222222222222,1,Grinders,-0.5253114416256652,0.35577145364582263
105155,Pedro Sousa,0.672646834673938,0.6408780941114741,0.4416303898226326,0.0382207429673281,0.0397559575569037,0.5441277739354663,0.5712487010147218,0.3656910627156106,1.6422429354584738,12,41,111.0,127.0,99.0,716.0,180.0,R,POR,0.2926829268292683,1,Grinders,-3.2972713371887252,0.3375257736797417
105166,Peter Polansky,0.5745409742161097,0.68048211310111,0.4912288156129948,0.0529037918757222,0.0410045912810355,0.5622685406251464,0.598771422930061,0.3355589137437578,1.8636862792001911,11,49,220.0,160.0,110.0,495.0,180.0,R,CAN,0.2244897959183673,1,Grinders,-0.7886647068579736,1.2283614309592414
105173,Adrian Mannarino,0.6033150038993879,0.6977033473683728,0.5141091830289177,0.0620141281961688,0.032560330834245,0.5564943298017337,0.6242153145755717,0.3629701459928592,1.832333908926028,300,642,3035.0,1619.0,17.0,1975.0,183.0,L,FRA,0.4672897196261682,0,All-Court Elite,-0.27314821562000335,-0.49724261184422985
105208,Ernests Gulbis,0.6007941487498869,0.7532795056874141,0.4879854901677093,0.1185530441395207,0.0532411534578915,0.6111492625518601,0.6467377815358999,0.3553093983412283,1.9172523110784183,221,455,4248.0,1921.0,10.0,2725.0,190.0,R,LAT,0.4857142857142857,2,Big Servers,1.8202852293909417,1.0945894903497961
105216,Yuichi Sugita,0.6037560450860844,0.6715395459977572,0.4851049994335181,0.0452872206963961,0.0317923414640317,0.573480074466037,0.5991494947271079,0.3510775502929474,1.8124697283348663,49,134,507.0,354.0,36.0,1240.0,173.0,R,JPN,0.3656716417910448,1,Grinders,-1.2065536331624243,0.15213240763286298
105217,Thiemo De Bakker,0.5962740839342133,0.7189571299493642,0.4922593049871622,0.1006915252874705,0.0241319555349125,0.5874245290067935,0.627511424888357,0.3378103417326583,1.9739570313377108,55,139,1149.0,261.0,43.0,1005.0,193.0,R,NED,0.39568345323741,0,All-Court Elite,1.011028270285097,0.2864387007383077
105223,Juan Martin del Potro,0.6399589959734211,0.7520172721349352,0.5399324166527948,0.1015542622215066,0.0298887567102995,0.6180299557503092,0.6742839547061112,0.3912259017455871,1.80672753120832,425,594,4459.0,1364.0,3.0,6580.0,198.0,R,ARG,0.7154882154882155,0,All-Court Elite,2.042799676648346,-2.4247046629921187
105226,Attila Balazs,0.5847917531825645,0.6484642490326671,0.494631280622105,0.0349781127057842,0.0523583711507411,0.6227140856988502,0.5831163094117567,0.3460023049833676,1.8219927431581144,17,38,115.0,163.0,76.0,779.0,180.0,R,HUN,0.4473684210526316,1,Grinders,-1.0841542029263702,0.991668373409051
105227,Marin Cilic,0.5698128274559289,0.7722850198088123,0.5284891770775503,0.1186440502987007,0.0366640280371821,0.6131663896016152,0.6680018002722439,0.3789164997721396,1.84375284036682,566,894,8458.0,2717.0,3.0,5060.0,198.0,R,CRO,0.6331096196868009,0,All-Court Elite,2.43525691679505,-0.7338707334354875
105238,Alexandr Dolgopolov,0.5447891959845758,0.7485754764533598,0.5196394178953624,0.1008803805198321,0.035254470869471,0.5733646709987739,0.6432407870977607,0.3690310524554384,1.8233840104122792,214,412,3147.0,1135.0,13.0,2030.0,180.0,R,UKR,0.5194174757281553,0,All-Court Elite,1.1935863366121138,0.03506481788618901
105292,Alejandro Gonzalez,0.5997491929909223,0.6427463426630204,0.4632132437355491,0.0469348563914306,0.0351815726230054,0.5248931608532053,0.5716345213442532,0.3475187264863568,1.7348463200596962,14,54,194.0,138.0,74.0,723.0,190.0,R,COL,0.2592592592592592,1,Grinders,-2.7190276547540932,1.1101890946277118
