player_id,player_name,surface,first_serve_pct,first_serve_win_pct,second_serve_win_pct,ace_rate,df_rate,bp_save_pct,service_pts_won_pct,return_pts_won_pct,dominance_ratio,wins,total_matches,aces,dfs,rank,rank_points,height,hand,ioc,win_pct
105551,Anil Yuksel,Clay,0.5102040816326531,0.58,0.4791666666666667,0.01020408163265306,0.030612244897959183,0.3333333333333333,0.5306122448979592,0.35,1.5160349854227406,0,1,1.0,3.0,502.0,70.0,,L,TUR,0.0
105551,Anil Yuksel,Hard,0.6153846153846154,0.625,0.44,0.015384615384615385,0.015384615384615385,0.6666666666666666,0.5538461538461539,0.12195121951219512,4.541538461538462,0,1,1.0,1.0,507.0,73.0,,L,TUR,0.0
105554,Daniel Evans,Clay,0.6357927125848439,0.6533688665275552,0.48761632250645665,0.03818224922806905,0.03159529272114232,0.586120534697246,0.5938573658765341,0.37189568423516384,1.6582545395319,19,56,170.0,147.0,24.0,2195.0,175.0,R,GBR,0.3392857142857143
105554,Daniel Evans,Grass,0.5993866113174845,0.7169551184104948,0.5261766869679572,0.05894366973023281,0.04625792442111394,0.6504265873015873,0.6404146359561909,0.3387177357455467,1.9641362152919655,16,40,212.0,159.0,25.0,2151.0,175.0,R,GBR,0.4
105554,Daniel Evans,Hard,0.5998409380690675,0.7238419079059796,0.5210485371970927,0.05946755879065991,0.034414555642180995,0.5803389087282523,0.6425771852745086,0.376269191191817,1.7819293707933521,113,219,1011.0,649.0,21.0,2164.0,175.0,R,GBR,0.5159817351598174
105558,Guillaume Rufin,Clay,0.5598013262768202,0.6504434585837954,0.5084389478010405,0.04527851003404433,0.043697877603220685,0.6150057630707786,0.5835415798471776,0.35943415225585634,1.6968835718216193,5,17,60.0,60.0,88.0,595.0,188.0,R,FRA,0.29411764705882354
105558,Guillaume Rufin,Grass,0.5915389317736169,0.7347881370465149,0.4414636308202275,0.10709413447178301,0.05324708301108219,0.5615079365079365,0.6138779901618158,0.34322382282061054,1.9774717832559716,2,6,80.0,40.0,85.0,589.0,188.0,R,FRA,0.3333333333333333
105558,Guillaume Rufin,Hard,0.5147345062278564,0.7243034469658868,0.5211525115029582,0.08998056452023194,0.05488884285835721,0.6048271148430995,0.6231691225987916,0.3495162257723549,1.8365341479704564,9,20,173.0,111.0,91.0,589.0,188.0,R,FRA,0.45
105559,Jonathan Eysseric,Clay,0.5013276143790849,0.6700449411952759,0.39363017934446504,0.02407345513963161,0.06986222519310754,0.46108140225787286,0.5319648692810458,0.3413556085016262,1.611182761225387,0,3,7.0,20.0,390.0,82.0,180.0,L,FRA,0.0
105559,Jonathan Eysseric,Hard,0.5454545454545454,0.6333333333333333,0.32,0.01818181818181818,0.09090909090909091,0.5555555555555556,0.4909090909090909,0.25,1.9636363636363636,0,1,1.0,5.0,290.0,169.0,180.0,L,FRA,0.0
105561,Alessandro Giannessi,Clay,0.6560157089282281,0.6474856035295763,0.4720615071926705,0.03525262420357748,0.04669321725580787,0.5945742155906681,0.5853171265809493,0.37588078125722496,1.6004188145561549,11,28,94.0,117.0,104.0,520.0,185.0,L,ITA,0.39285714285714285
105561,Alessandro Giannessi,Hard,0.6177103352301786,0.6733041495509241,0.517502894744274,0.06180674689383825,0.053750108861492854,0.5433566433566434,0.6157152424785713,0.3014665641685524,2.1663507363039933,2,8,40.0,38.0,91.0,610.0,185.0,L,ITA,0.25
105566,Shahin Khaledan,Hard,0.5831374085684431,0.6357833655705996,0.4695121951219512,0.011428944618599791,0.05714472309299895,0.43333333333333335,0.5658960292580982,0.32105475040257647,1.8207928422152562,0,2,2.0,10.0,1331.0,3.0,,R,IRI,0.0
105572,Austin Krajicek,Clay,0.6476847122914539,0.6991869918699187,0.4386206896551724,0.12240381341504937,0.0339632277834525,0.6785714285714286,0.6044433094994892,0.22996794871794873,2.6282075092085306,0,2,19.0,5.0,95.0,608.0,188.0,L,USA,0.0
105572,Austin Krajicek,Grass,0.6418606291714786,0.779227288078352,0.4838461337687531,0.102033920697956,0.04649590422873643,0.29047619047619044,0.6745580012569314,0.29566814764183186,2.370973729272607,1,5,37.0,16.0,125.0,448.0,188.0,L,USA,0.2
105572,Austin Krajicek,Hard,0.5935692057775446,0.7052885202786096,0.4848073946225938,0.09546600823670665,0.05151690357472784,0.5557256235827664,0.618678497081318,0.3123387789051156,2.11316210708132,11,29,237.0,113.0,95.0,608.0,188.0,L,USA,0.3793103448275862
105573,Henri Kontinen,Grass,0.5261597938144329,0.681860902255639,0.38734030197444835,0.07139175257731958,0.08827319587628865,0.3833333333333333,0.5372422680412371,0.2905268490374874,1.8288894095595125,1,2,11.0,10.0,253.0,186.0,191.0,R,FIN,0.5
105573,Henri Kontinen,Hard,0.625,0.6666666666666666,0.4444444444444444,0.08333333333333333,0.020833333333333332,0.8333333333333334,0.5833333333333334,0.32558139534883723,1.7916666666666667,0,1,8.0,2.0,549.0,54.0,191.0,R,FIN,0.0
105575,Ricardas Berankis,Clay,0.5946385315972994,0.6539232269406302,0.490115171024517,0.030115147680771837,0.031621080911772494,0.48339164931351664,0.5866741216499222,0.34120117693478474,1.7963273322328648,10,38,103.0,106.0,50.0,885.0,175.0,R,LTU,0.2631578947368421
105575,Ricardas Berankis,Grass,0.6119308743974207,0.7113061965339789,0.5603816125529434,0.06007423112017864,0.040015761372609746,0.5930872546257162,0.6518327076086218,0.33181062474141737,2.017747855612275,7,26,151.0,103.0,53.0,895.0,175.0,R,LTU,0.2692307692307692
105575,Ricardas Berankis,Hard,0.5620334944837277,0.7152335981970106,0.5107429620253094,0.05670489713884317,0.042984774460933815,0.5936658727009719,0.625373131632164,0.3667585901373276,1.778480017064533,96,195,867.0,678.0,62.0,909.0,175.0,R,LTU,0.49230769230769234
105577,Vasek Pospisil,Clay,0.5969277437280236,0.6530998297336046,0.45864108103719403,0.06994273241422327,0.03980081570456802,0.4812374206675677,0.5758255105062874,0.30043709710739247,1.9956840140864964,0,16,117.0,63.0,29.0,1290.0,193.0,R,CAN,0.0
105577,Vasek Pospisil,Grass,0.5993112398995495,0.7699816669180155,0.4970870019445892,0.12793434624872585,0.04239247733638357,0.5893487127529681,0.6605251942455129,0.32825982191199926,2.079924903339058,19,48,524.0,169.0,33.0,1170.0,193.0,R,CAN,0.3958333333333333
105577,Vasek Pospisil,Hard,0.5767251434806103,0.767585986582386,0.5093127550676321,0.11880607418243554,0.04440384238369278,0.6169052350619172,0.6584768598768596,0.33352932588047735,2.0817005323262134,110,230,2216.0,815.0,27.0,1359.0,193.0,R,CAN,0.4782608695652174
105578,Cristian Rodriguez,Hard,0.64,0.75,0.6111111111111112,0.04,0.06,1.0,0.7,0.5306122448979592,1.319230769230769,1,1,2.0,3.0,388.0,106.0,180.0,R,COL,1.0
105579,Kittipong Wachiramanowong,Grass,0.6161764705882353,0.6541774332472007,0.3714814814814815,0.05904139433551198,0.047821350762527234,0.42727272727272725,0.5463507625272331,0.2914584279872785,1.9709365345880328,0,2,12.0,7.0,1109.0,8.0,183.0,R,THA,0.0
105579,Kittipong Wachiramanowong,Hard,0.6142271173062317,0.681560361399572,0.5838839989437071,0.07378291565781674,0.014426637648805163,0.5465367965367965,0.6403109279276477,0.39533315335522573,1.714268273729218,3,7,36.0,9.0,523.0,60.0,183.0,R,THA,0.42857142857142855
105583,Dusan Lajovic,Clay,0.653137558302982,0.680836685610655,0.5212559393943973,0.04035632915892343,0.022693603911265996,0.6002272264987331,0.6244891987824895,0.37923016211073624,1.7276349903210126,113,227,693.0,375.0,23.0,1895.0,183.0,R,SRB,0.4977973568281938
105583,Dusan Lajovic,Grass,0.6675660540839997,0.6674827397607536,0.5393333841231239,0.053305022450305856,0.02035091839463619,0.5700750336619902,0.624928387692329,0.28727437185423715,2.314673254374039,6,24,122.0,49.0,33.0,1540.0,183.0,R,SRB,0.25
105583,Dusan Lajovic,Hard,0.6774803543003499,0.6755220577411655,0.505785359561437,0.048295489801135405,0.021875865747841273,0.5597292600827445,0.6203656625981835,0.34169083989543036,1.961756035860087,78,198,775.0,344.0,23.0,1895.0,183.0,R,SRB,0.3939393939393939
105585,Ze Zhang,Clay,0.6546629740825299,0.674820541444435,0.5245101932093802,0.06318992772620904,0.04661509192042129,0.4855392156862745,0.623420864679998,0.4496121073655062,1.4995956178052854,5,6,30.0,28.0,172.0,313.0,188.0,R,CHN,0.8333333333333334
105585,Ze Zhang,Grass,0.6252204585537919,0.612987012987013,0.3351648351648352,0.047241118669690094,0.11035525321239607,0.5916666666666667,0.5084404132023179,0.3442192192192192,1.6395724956649325,1,2,7.0,12.0,217.0,227.0,188.0,R,CHN,0.5
105585,Ze Zhang,Hard,0.6402119773996088,0.6558719347975533,0.4371826612799397,0.06084673030620254,0.06166353591291367,0.5496317656934717,0.5771767410714892,0.337491939527448,1.8149240653864938,6,29,130.0,119.0,154.0,351.0,188.0,R,CHN,0.20689655172413793
105586,Alexandar Lazov,Hard,0.6666666666666666,0.5555555555555556,0.05555555555555555,0.018518518518518517,0.037037037037037035,0.45454545454545453,0.3888888888888889,0.2972972972972973,1.308080808080808,0,1,1.0,2.0,438.0,95.0,183.0,L,BUL,0.0
105587,Tom Kocevar Desman,Clay,0.6222222222222222,0.7857142857142857,0.6470588235294118,0.044444444444444446,0.022222222222222223,0.5,0.7333333333333333,0.56,1.3095238095238093,1,1,2.0,1.0,688.0,35.0,180.0,R,SLO,1.0
105589,Gerald Melzer,Clay,0.6209447134581807,0.6981928980820652,0.4967758153713217,0.05672828128310166,0.038481634642188435,0.5800275575817372,0.6199407963162483,0.3687761667303235,1.7628321380999814,16,38,155.0,102.0,98.0,580.0,188.0,L,AUT,0.42105263157894735
105589,Gerald Melzer,Hard,0.6785129867395986,0.5939610567453916,0.49843778965174523,0.036858551753563173,0.03305813399164198,0.5460781282209853,0.5606162815508925,0.3063243504704286,2.017640692037484,1,14,50.0,44.0,68.0,728.0,188.0,L,AUT,0.07142857142857142
105590,Uladzimir Ignatik,Hard,0.6666666666666666,0.65,0.45,0.06666666666666667,0.08333333333333333,0.5,0.5833333333333334,0.2647058823529412,2.2037037037037037,0,1,4.0,5.0,421.0,69.0,183.0,R,BLR,0.0
105591,Matt Reid,Grass,0.6,0.6666666666666666,0.35294117647058826,0.1411764705882353,0.08235294117647059,0.5833333333333334,0.5411764705882353,0.2602739726027397,2.0792569659442726,0,1,12.0,7.0,216.0,220.0,183.0,R,AUS,0.0
105596,Jan Satral,Clay,0.6075949367088608,0.7291666666666666,0.4838709677419355,0.0759493670886076,0.05063291139240506,0.7,0.6329113924050633,0.3218390804597701,1.9665461121157326,0,1,6.0,4.0,206.0,260.0,185.0,R,CZE,0.0
105596,Jan Satral,Hard,0.5347095116721285,0.7090292409681895,0.4337348583171101,0.09019591778937573,0.050917485940850424,0.6345238095238095,0.5770411053121334,0.3270031665864999,1.8228545462393493,1,4,37.0,20.0,157.0,370.0,185.0,R,CZE,0.25
105601,Cristobal Saavedra Corvalan,Clay,0.6385542168674698,0.5660377358490566,0.5333333333333333,0.012048192771084338,0.012048192771084338,0.6666666666666666,0.5542168674698795,0.30985915492957744,1.7886089813800659,0,1,1.0,1.0,395.0,90.0,,R,CHI,0.0
105606,Mohsen Hossein Zade,Hard,0.78,0.4358974358974359,0.36363636363636365,0.0,0.04,0.375,0.42,0.36538461538461536,1.1494736842105264,0,1,0.0,2.0,,,,U,IRI,0.0
105609,Ilya Belyaev,Hard,0.38181818181818183,0.6190476190476191,0.5,0.01818181818181818,0.03636363636363636,0.4,0.5454545454545454,0.1590909090909091,3.4285714285714284,0,1,1.0,2.0,334.0,127.0,180.0,R,RUS,0.0
105613,Norbert Gombos,Clay,0.6107732633457573,0.681670449062063,0.4585429463101452,0.04457149118743037,0.044061002412233805,0.5493815726756903,0.5978601133521452,0.3688193683571329,1.6924816710392228,11,25,94.0,89.0,81.0,912.0,193.0,R,SVK,0.44
105613,Norbert Gombos,Grass,0.6203086181853115,0.6866968800098656,0.4794022065941939,0.07481102066358326,0.045552413443916355,0.5323906485671192,0.6064199937605825,0.25845101784746494,2.4218294096504978,0,5,34.0,22.0,90.0,822.0,193.0,R,SVK,0.0
105613,Norbert Gombos,Hard,0.6273197888359101,0.7169612358963219,0.4603925148079641,0.07210820715675824,0.0454434015185439,0.5605963753022577,0.6216658344017415,0.3434034664617886,1.9227071712099617,12,43,244.0,165.0,83.0,799.0,193.0,R,SVK,0.27906976744186046
105614,Bradley Klahn,Clay,0.5932888892033845,0.6639136423800289,0.48854364326375715,0.05708417116729493,0.04708012780065279,0.4956989247311828,0.5938954796784293,0.30305008934927924,2.165412807913164,0,4,18.0,18.0,71.0,705.0,183.0,L,USA,0.0
105614,Bradley Klahn,Grass,0.6311791842672662,0.7029571650727899,0.48851876861330445,0.0906378183883407,0.06471758240974526,0.6477513227513227,0.6246458463650879,0.2918064533770941,2.3028294650175387,2,9,71.0,53.0,72.0,707.0,183.0,L,USA,0.2222222222222222
105614,Bradley Klahn,Hard,0.5993436965213281,0.7095293354739345,0.5023247636839018,0.09393634176574192,0.0516297773839571,0.5131392442676167,0.6275946877969258,0.30219710107808695,2.261605628473542,11,43,356.0,186.0,63.0,731.0,183.0,L,USA,0.2558139534883721
105626,Takanyi Garanganga,Hard,0.5958606505056809,0.6603896103896104,0.4367302712280224,0.0682208258273167,0.05086767188187067,0.4458823529411765,0.568503241180726,0.37111151484158067,1.5761958998761738,2,5,33.0,20.0,451.0,81.0,,R,ZIM,0.4
105630,Tomislav Ternar,Hard,0.5916666666666667,0.7922077922077921,0.2590909090909091,0.01818181818181818,0.06893939393939394,0.625,0.5734848484848485,0.11458333333333333,2.459504132231405,0,2,2.0,4.0,639.0,48.0,,U,SLO,0.0
